AVAILABLE LANGUAGES,alb,ara,bel,chn,deu,ell,eng,fin,fra,hin,hrv,ind,ita,jpn,nld,pol,por,rus,spa,vnm,zsm
confirmBWHeader,Dëshiron të tranformosh imazhin në bardhë e zi?,تحويل الصورة الى ابيض و اسود,Пераўтварыць карцінку ў чорнае і белае?,确认将图片黑白化？,Verwandle das Bild in Schwarz-Weiß?,Μετατροπή της εικόνας σε ασπρόμαυρη;,Transform the image in black and white ?,varmistaa BW otsikko,Transformer l'image en noir et blanc ?,,Pretvori sliku u crno-bijelo,Mengubah imej dalam hitam dan putih,Trasformare l'immagine in banco e nero?,,Beeld omzetten in zwart wit ?,Zmień obraz na czarno-biały,*Transforme a imagem em preto e branco?,Преобразовать картинку в черное и белое?,¿Transformar la imagen en blanco y negro?,Chuyển hình sang,Mengubah imej dalam hitam dan putih
ColorDesc,Ngjyros imazhe!,قم بالتلوين باستخدام اي صورة و حفظها,Размалюйце які-небудзь малюнак і захавайце яго.,填填色！,Färben Sie mit einem beliebigen Bild und speichern Sie das Bild.,Χρωμάτισε εικόνες!,Color images !,väri desc,Coloriez des images !,,Oboji bilo koju sliku i sačuvaj,Gambar berwarna!,Colora usando qualsiasi immagine e salvala,,Kleur om het even welke plaat en bewaar.,Zrób trochę kolorowania na dowolnym obrazie,a następnie go zapisz.,Раскрасьте какое-либо изображение и сохраните его.,Coloree usando cualquier imagen y luego guárdela,Tô màu một hình bất kì và lưu lại,Gambar berwarna!
PrintImg,,,Раздрукаваць малюнак,,,,Print image,,Imprimer image,,,,,,,,,Распечатать изображение,,,

# GOOSE GAME
Player %d's turn,,,Чарга гульца %d,玩家 %d 的回合,,,Player %d's turn,,C'est au tour du joueur %d,,,,,,Beurt van speler %d,,,Очередь игрока %d,,,
Repeat last throw!,,,Перабрось косткі,再次奖励投掷点数,,,Repeat last throw!,,Rejoue le dernier lancer!,,,,,,Herhaal laatste worp,,,Перебрось кости,,,
Player %d takes the bridge to square %d,,,Гулец %d пераходзіць мост на клетку %d,玩家 %d 走过桥到了方格 %d,,,Player %d takes the bridge to square %d,,Le joueur %d prend le pont jusqu'à la case %d,,,,,,Speler %d neemt de brug naar vak %d,,,Игрок %d переходит мост на клетку %d,,,
Player %d wins the game,,,Гулец %d перамог,玩家 %d 赢得游戏,,,Player %d wins the game,,Le joueur %d gagne la partie,,,,,,Speler %d wint!,,,Игрок %d победил,,,
Player %d is asleep for %d more turn(s),,,Гулец %d спіць на працягу яшчэ %d хадоў(у),玩家 %d 继续休眠 %d 回合,,,Player %d is asleep for %d more turn(s),,Le joueur %d dort encore pour %d tour(s),,,,,,speler %d moet %d beurten wachten,,,Игрок %d спит в течение ещё %d ходов(а),,,
Player %d is stuck,,,Гулец %d затрымаўся,玩家 %d 被卡住,,,Player %d is stuck,,Le joueur %d est bloqué,,,,,,Speler %d zit vast,,,Игрок %d застрял,,,
Player %d fell into a well,,,Гулец% d зваліўся ў калодзеж,玩家 %d 掉进了井里,,,Player %d fell into a well,,Le joueur %d est tombé dans un puit,,,,,,Speler %d valt in een put,,,Игрок %d упал в колодец,,,
Player %d freed player %d,,,Гулец %d вызваліў гульца %d,玩家 %d 解救了玩家 %d,,,Player %d freed player %d,,Le joueur %d a libéré le joueur %d,,,,,,Speler %d heeft speler %d bevrijd,,,Игрок %d освободил игрока %d,,,
Restart from the beginning,,,Вяртанне ў пачатак,重新开始,,,Restart from the beginning,,Retour à la case départ,,,,,,Start terug bij het begin,,,Возвращение в начало,,,
Player %d got locked up in prison,,,Гулец %d трапіў у турму,玩家 %d 被关进了监狱,,,Player %d got locked up in prison,,Le joueur %d tombe en prison,,,,,,Speler %d gaat naar de gevangenis,,,Игрок %d попал в тюрьму,,,
Player %d falls asleep for %d turns,,,Гулец %d заснуў на %d хадоў (а),玩家 %d 休眠 %d 回合,,,Player %d falls asleep for %d turns,,Le joueur %d s'endort pour %d tours,,,,,,Speler %d valt in slaap gedurende %d beurt(en).,,,Игрок %d заснул на %d ходов(а),,,

# HORSES GAME
red,,,чырвоны,红,,,red,,rouge,,,,,,rood,,,красный,,,
blue,,,сіні,蓝,,,blue,,bleu,,,,,,blauw,,,синий,,,
yellow,,,зялёны,黄,,,yellow,,jaune,,,,,,geel,,,зелёный,,,
green,,,жоўты,绿,,,green,,vert,,,,,,groen,,,жёлтый,,,
Select teams by looking at the big circles,,,Выберыце каманды паглядзеўшы на іх,注视圆圈以选择队伍,,,Select teams by looking at the big circles,,Selectionnez les équipes en regardant les gros ronds,,,,,,Selecteer teams door naar de grote cirkels te kijken,,,Выберите команды посмотрев на них,,,
Play again,,,Згуляць зноў,再投一次,,,Play again,,Jouez à nouveau,,,,,,Speel opnieuw,,,Сыграть снова,,,
%d more team(s) to select,,,Засталося выбраць %d каманд,还需选择 %d 个队伍 ,,,%d more team(s) to select,,%d équipes restantes à sélectionner,,,,,,Nog %d team(s) selecteren,,,Осталось выбрать %d команд,,,
%s team's turn,,,Чарга каманды %d,%s 队回合,,,%s team's turn,,C'est au tour de l'équipe %s,,,,,,beurt voor team %d,,,Очередь команды %d,,,
No moves available,,,Няма магчымых хадоў,不能起飞,,,No moves available,,Pas de déplacement possible,,,,,,Geen zetten mogelijk,,,Нет возможных ходов,,,
Select the pawn you want to move,,,Выберыце фішку для перамяшчэння,选择要移动的棋子,,,Select the pawn you want to move,,Sélectionnez le pion à déplacer,,,,,,Selecteer de pion die u wilt verplaatsen,,,Выберите фишку для передвижения,,,
%s team wins,,,каманда %s перамагла,%s 队胜利,,,%s team wins,,L'équipe %s gagne la partie,,,,,,Team %s wint,,,команда %s победила,,,

# LETTERS GAME
Choose the Letter,Zgjidh shkronjën,,Выберы букву,选择字母,,,Choose the Letter,,Choisissez la Lettre,,,,Scegli la lettera,,Kies de letter,,,Выберите букву,,,

# MATHS GAME
From,,,Ад,从,,,From,,De,,,,,,Van,,,От,,,
to,,,да,到,,,to,,à,,,,,,tot,,,до,,,
MathDesc,,,Складанне & Адніманне & Множанне & Дзяленне,加减乘除,,,Addition & Subtraction Multiplication & Division,,Addition & Soustraction Multiplication & Division,,,,,,Optellen en aftrekken en vermenigvuldigen en delen,,,Сложение & Вычитание & Умножение & Деление,,,
MathDescAdd,,,Складзі два чысла!,把两个数相加！,,,Add two numbers!,,Addition de deux nombres!,,,,,,Tel de twee getallen op!,,,Сложи два числа!,,,
MathDescSub,,,Вылічы два чысла!,把两个数相减！,,,Subtract two numbers!,,Soustraction de deux nombres!,,,,,,Trek de twee getallen van elkaar af!,,,Вычти два числа!,,,
MathDescMult,,,Памнож два чысла!,把两个数相乘！,,,Multiply two numbers!,,Multiplication de deux nombres!,,,,,,Vermenigvuldig de twee getallen!,,,Умножь два числа!,,,
MathDescDiv,,,Падзялі два чысла!,把两个数相除！,,,Divide two numbers!,,Division de deux nombres!,,,,,,Deel de twee getallen!,,,Раздели два числа!,,,

# SPOT THE DIFFERENCES GAME
Spot all the differences,Gjej gjithë ndryshimet,,Знайдзі ўсё адрозненні,找出所有不同的地方,,,Spot all the differences,,Trouvez toutes les différences,,,,Trova tutte le differenze,,Zoek al de verschillen,,,Найди все отличия,,,
Differences found,Ndryshimet e gjetura,,Знойдзеныя адрозненні,找到不同,,,Differences found,,Différences trouvées,,,,Differenze trovate,,Verschillen gevonden,,,Найденные отличия,,,

# BIBOULE JUMP AND SPACE GAME
Highscore,Rekord,أعلى نتيجة,Лепшы вынік,最高得分,,,Highscore,,Meilleur score,,,,Record !,,Hoogste Score,,,Лучший результат,Récord,,
New highscore!,Rekord i ri !,نتيجة عالية جديدة,Новы рэкорд!,新记录！,,,New highscore!,,Nouveau meilleur score!,,,,Nuovo record !,,Nieuwe hoogste score!,,,Новый рекорд!,Niuevo récord !,,

# ERROR MESSAGES
WII-error,Verifikim i direktorisë “Ku është?”,تثبت من دليل اللعبة اين هذا؟,"Праверце тэчку для гульні ""Дзе гэта?""",查找《它在哪》游戏目录,Überprüfen Spielverzeichnis « Wo ist es? »,Ελέγξτε «Πού είναι;,Check « Where is it? » Game directory,Tarkista «Missä se on? » Pelihakemisto,Vérifiez le répertoire du jeu « Où est-ce ? ».,,Provjeri,Semak « Di mana? » Arahan permainan,"Controllo cartella di gioco ""Dov'è?""""ontroll ",,Controleer de « Waar is het » Spel bestandslocatie,Sprawdź «Gdzie to jest? » Katalog gier,*Verifique «Onde está?,"Проверьте папку для игры ""Где это?""","Verifica el directorio del juego ""¿Donde está?""""erifica el di ",Kiểm tra Thư mục game,Semak «Di mana? » Arahan permainan
File %s is not supported,,,Файл %s не падыходзіць па тыпу,不支持文件 %s ,,,File %s is not supported,,Le fichier %s n'est pas compatible,,,,,,Bestand %s wordt niet ondersteund,,,Файл %s не подходит по типу,,,
No video found,,,,,,,No video found,,Aucune vidéo trouvée,,,,,,,,,,,,
SorryButReplayInvalid,,,Не можна пераграць гульню '{}',,,,Sorry but the game '{}' is not replayable.\nIt will be available in a next update.,,Désolé mais le jeu '{}' n'est pas rejouable.\nIl sera disponible dans une prochaine mise à jour.,,,,,,,,,Игра '{}' не может быть переигранна,,,

# OTHERS
EnableGazeMouse,Aktivizo mouse,تشغيل مظاهات الفارة البصرية اضغط س لايقاف/تشغيل,Ўключыць эмуляцыю Gaze мышкі; націсніце на S каб пачаць / спыніць эмуляцыю; націсніце прабел для эмуляцыі кліка,开启眼动鼠标，S键开始/停止，空格替代鼠标点击,Aktivieren der visuellen Mausemulation ; drücken Sie S um die Emulation zu stoppen/starten ; Drücken Sie die Leertaste um den Mausklick zu emulieren.,Ενεργοποιήστε την εξομοίωση του Mouse Gaze. πατήστε S για να διακόψετε ; ξεκινήσετε την εξομοίωση. Πατήστε το πλήκτρο διαστήματος για να εξομοιώσετε το κλικ.,Enable the Gaze Mouse emulation ; press S to stop/start the emulation ; Press space to emulate click,aktivoi katseohjainhiiri,Activer l'émulation de la souris visuelle ; appuyez sur S pour arrêter/commencer l'émulation ; appuyez sur espace pour émuler un click de souris,,Aktiviraj opciju pogled; Pritisni S za stop/start; Pritisni razmaknicu za efekt klik misa,Dayakan emulasi Gaze Mouse; tekan S untuk menghentikan / memulakan emulasi; Tekan ruang untuk meniru klik,Attiva modalità emulazione mouse ; premi S per fermare/avviare l'emulatore ; premi spazio per emulare il click del mouse,,Activeer de oogsturing via muissimulatie ; druk S om de muissimulaite te stoppen/starten ; klik op de spatiebar om een klik na te doen,Włącz emulację Gaze Mouse; naciśnij S,*Ative a emulação do Gaze Mouse; pressione S para parar / iniciar a emulação; Pressione espaço para emular clique,Включить эмуляцию Gaze мышки ; нажмите на S чтобы начать/остановить эмуляцию; нажмите пробел для эмуляции клика,Activación de la emulación del ratón visual ; presione S para detener/iniciar la emulación ; presione espacio para emular el clic,Bật giả lập Chuột Gaze; ấn S để dừng/bắt đầu giả lập,Dayakan emulasi Gaze Mouse; tekan S untuk menghentikan / memulakan emulasi; Tekan ruang untuk meniru klik
free,Lehtë,حر,Лёгкі,简单,,,Free,,Facile,,,,Facile,,Gratis,,,Лёгкий,Fácil,,
Utilities,Utilities,,Утыліты,工具,,,Utilities,,Utilitaires,,,,Utilities,,,,,Утилиты,,,
